solver,Ny,systems,samples,cpu_solve_seconds,cpu_update_seconds,gpu_solve_seconds,gpu_update_seconds,solve_speedup,update_speedup,source_file
helmholtz,1024,64,500,0.0005576795,0.00049554,0.000907974,0.002255768,0.614202,0.219677,runs/a100-92072b1.csv
helmholtz,1024,256,500,0.001504149,0.001606784,0.000999654,0.002102953,1.504670,0.764061,runs/a100-92072b1.csv
helmholtz,1024,1024,500,0.007293286,0.006880967,0.002342886,0.003053076,3.112950,2.253782,runs/a100-92072b1.csv
helmholtz,1024,4096,500,0.036256085,0.035884877,0.002591291,0.004133956,13.991514,8.680517,runs/a100-92072b1.csv
helmholtz,1024,16384,500,0.139024386,0.145799993,0.002958121,0.004917423,46.997532,29.649675,runs/a100-92072b1.csv
helmholtz,1024,65536,500,0.837364963,0.664352834,0.00594505,0.009391315,140.850786,70.741194,runs/a100-92072b1.csv
coupled,8,64,500,9.3734717e-06,2.43571951e-05,8.89694e-05,0.001593211,0.105356,0.015288,runs/a100-92072b1.csv
coupled,8,256,500,2.4771561e-05,6.2702e-05,6.00264615e-05,0.001856876,0.412677,0.033767,runs/a100-92072b1.csv
coupled,8,1024,500,9.86927273e-05,0.00025828225,5.96742308e-05,0.001956789,1.653858,0.131993,runs/a100-92072b1.csv
coupled,8,4096,500,0.000408151,0.001065602,6.10348462e-05,0.002390218,6.687180,0.445818,runs/a100-92072b1.csv
coupled,8,16384,500,0.001929056,0.004901361,5.91129231e-05,0.002457931,32.633406,1.994100,runs/a100-92072b1.csv
coupled,8,65536,500,0.01011891,0.034589227,8.33748889e-05,0.002470443,121.366399,14.001224,runs/a100-92072b1.csv
coupled,16,64,500,1.42818857e-05,3.72740741e-05,5.89993571e-05,0.001269644,0.242068,0.029358,runs/a100-92072b1.csv
coupled,16,256,500,5.70025556e-05,0.000146826714,5.94506923e-05,0.001937133,0.958821,0.075796,runs/a100-92072b1.csv
coupled,16,1024,500,0.0002297142,0.0006345825,6.02729231e-05,0.001885009,3.811234,0.336647,runs/a100-92072b1.csv
coupled,16,4096,500,0.0009360985,0.002463979,6.02033846e-05,0.002485262,15.548935,0.991436,runs/a100-92072b1.csv
coupled,16,16384,500,0.004516182,0.012476711,9.2137e-05,0.002377112,49.015944,5.248685,runs/a100-92072b1.csv
coupled,16,65536,500,0.022008311,0.061717394,0.00019126125,0.002727691,115.069367,22.626241,runs/a100-92072b1.csv
coupled,32,64,500,2.93972059e-05,7.44632857e-05,7.54225e-05,0.002152986,0.389767,0.034586,runs/a100-92072b1.csv
coupled,32,256,500,0.000118569222,0.00030883075,8.55722222e-05,0.00181453,1.385604,0.170199,runs/a100-92072b1.csv
coupled,32,1024,500,0.000481477,0.001274347,8.7058e-05,0.002143457,5.530531,0.594529,runs/a100-92072b1.csv
coupled,32,4096,500,0.001984876,0.005208238,9.172e-05,0.002589917,21.640602,2.010967,runs/a100-92072b1.csv
coupled,32,16384,500,0.010484202,0.027767604,0.000207010333,0.002780799,50.645791,9.985477,runs/a100-92072b1.csv
coupled,32,65536,500,0.063904607,0.172606741,0.000452954,0.003624544,141.084099,47.621643,runs/a100-92072b1.csv
coupled,64,64,500,5.94733529e-05,0.000158533857,0.000146383333,0.002336401,0.406285,0.067854,runs/a100-92072b1.csv
coupled,64,256,500,0.000246488,0.000635864,0.0001654448,0.002144888,1.489850,0.296456,runs/a100-92072b1.csv
coupled,64,1024,500,0.0009705505,0.002510653,0.0001678984,0.002379008,5.780582,1.055336,runs/a100-92072b1.csv
coupled,64,4096,500,0.004497905,0.011109459,0.0003660425,0.002573238,12.287931,4.317307,runs/a100-92072b1.csv
coupled,64,16384,500,0.02474008,0.060238429,0.000461352,0.0033206,53.625171,18.140827,runs/a100-92072b1.csv
coupled,64,65536,500,0.143810945,0.341394728,0.000971414,0.004855951,148.042899,70.304401,runs/a100-92072b1.csv
coupled,128,64,500,0.000122449222,0.0003051055,0.000268975,0.002545749,0.455244,0.119849,runs/a100-92072b1.csv
coupled,128,256,500,0.000489399667,0.001288747,0.000306139667,0.002624723,1.598616,0.491003,runs/a100-92072b1.csv
coupled,128,1024,500,0.001980575,0.005114683,0.000307272333,0.002701108,6.445667,1.893550,runs/a100-92072b1.csv
coupled,128,4096,500,0.009437451,0.026641104,0.0007080445,0.00380994,13.328895,6.992526,runs/a100-92072b1.csv
coupled,128,16384,500,0.049314768,0.129425065,0.000909542,0.006290299,54.219341,20.575344,runs/a100-92072b1.csv
coupled,128,65536,500,0.296737128,0.69796884,0.002066087,0.008658551,143.622765,80.610352,runs/a100-92072b1.csv
coupled,256,64,500,0.00024498775,0.000633577,0.0005928765,0.003621412,0.413219,0.174953,runs/a100-92072b1.csv
coupled,256,256,500,0.000986118,0.00260457,0.000653883,0.00366539,1.508095,0.710585,runs/a100-92072b1.csv
coupled,256,1024,500,0.004195446,0.01069888,0.001448535,0.005020507,2.896337,2.131036,runs/a100-92072b1.csv
coupled,256,4096,500,0.019937769,0.057394238,0.001683974,0.006605779,11.839713,8.688489,runs/a100-92072b1.csv
coupled,256,16384,500,0.110667136,0.285132024,0.001948428,0.007735821,56.798165,36.858664,runs/a100-92072b1.csv
coupled,256,65536,500,0.604818611,1.43780023,0.00396326,0.014026099,152.606342,102.508918,runs/a100-92072b1.csv
coupled,512,64,500,0.000821093,0.00280139,0.001201695,0.006002724,0.683279,0.466686,runs/a100-92072b1.csv
coupled,512,256,500,0.002281459,0.007929364,0.001363442,0.005889572,1.673308,1.346340,runs/a100-92072b1.csv
coupled,512,1024,500,0.01029743,0.037662613,0.002794129,0.009231365,3.685381,4.079853,runs/a100-92072b1.csv
coupled,512,4096,500,0.047371406,0.166728064,0.003298574,0.011691649,14.361177,14.260440,runs/a100-92072b1.csv
coupled,512,16384,500,0.204294569,0.664704454,0.003815481,0.013719394,53.543595,48.449986,runs/a100-92072b1.csv
coupled,512,65536,500,1.15878944,3.24862496,0.007730832,0.022937525,149.891944,141.629272,runs/a100-92072b1-cont1634168-coupled-ny512.csv
coupled,1024,64,500,0.001071625,0.003208381,0.002339125,0.007904328,0.458131,0.405902,runs/a100-92072b1-last1636271.csv
coupled,1024,256,500,0.007014444,0.014966858,0.004344362,0.0121301,1.614609,1.233861,runs/a100-92072b1-last1636271.csv
coupled,1024,1024,500,0.021839731,0.068910546,0.005874053,0.015922564,3.718000,4.327855,runs/a100-92072b1-last1636271.csv
coupled,1024,4096,500,0.092208558,0.28003318,0.006492489,0.018805555,14.202343,14.890982,runs/a100-92072b1-last1636271.csv
coupled,1024,16384,500,0.433981467,1.27100264,0.007471792,0.022502249,58.082648,56.483361,runs/a100-92072b1-last1636271.csv
coupled,1024,65536,500,2.41012449,6.74716136,0.01530818,0.0451017,157.440303,149.598826,runs/a100-92072b1-last1636271.csv
