solver,Ny,systems,samples,cpu_solve_seconds,cpu_update_seconds,gpu_solve_seconds,gpu_update_seconds,solve_speedup,update_speedup
coupled,1024,64,500,0.001071625,0.003208381,0.002339125,0.007904328,0.458131,0.405902
coupled,1024,256,500,0.007014444,0.014966858,0.004344362,0.0121301,1.614609,1.233861
coupled,1024,1024,500,0.021839731,0.068910546,0.005874053,0.015922564,3.718000,4.327855
coupled,1024,4096,500,0.092208558,0.28003318,0.006492489,0.018805555,14.202343,14.890982
coupled,1024,16384,500,0.433981467,1.27100264,0.007471792,0.022502249,58.082648,56.483361
coupled,1024,65536,500,2.41012449,6.74716136,0.01530818,0.0451017,157.440303,149.598826
